N,kappa_bundle_Km_over_Nk,eta_alphaT0,q0_Nh0W,A_seed_one_step,lambda_seed,mean_size,median_size,p90_size,p99_size,max_size,P_size_ge_2,P_size_ge_10,P_spanning,mean_duration,n_avalanches
100,0.01,5.0,0.5,1.0512710963760241,0.010000000000000009,1.7345,1.0,3.0,6.0,12,0.4075,0.001,0.0,0.33761459724389115,2000
100,0.01778279410038923,5.0,0.5,1.0508652426992575,0.009922773100057292,1.72,1.0,3.0,6.0,12,0.4175,0.001,0.0,0.3347899932820986,2000
100,0.03162277660168379,5.0,0.5,1.050159170477241,0.009788348722278739,1.712,1.0,3.0,6.0,11,0.398,0.001,0.0,0.3240269067772222,2000
100,0.056234132519034905,5.0,0.5,1.0489508246487707,0.009558090000297392,1.7265,1.0,3.0,7.0,13,0.414,0.001,0.0,0.3333584593193044,2000
100,0.1,5.0,0.5,1.046939932971732,0.00917431192660545,1.7285,1.0,3.0,6.0,23,0.413,0.0015,0.0,0.3323751939668703,2000
100,0.1778279410038923,5.0,0.5,1.0437442896975644,0.00856290524390424,1.7075,1.0,3.0,6.0,19,0.4035,0.0015,0.0,0.3205209105674245,2000
100,0.31622776601683794,5.0,0.5,1.0390202101867154,0.007655632700638071,1.694,1.0,3.0,5.0,13,0.3975,0.0015,0.0,0.31927879339972853,2000
100,0.5623413251903491,5.0,0.5,1.0327337486322459,0.006441882231521312,1.6575,1.0,3.0,6.0,10,0.3945,0.0005,0.0,0.2929295758504642,2000
100,1.0,5.0,0.5,1.0254439370479758,0.005025125628140614,1.6945,1.0,3.0,6.0,8,0.4045,0.0,0.0,0.3167089549907013,2000
100,1.7782794100389228,5.0,0.5,1.01822586069606,0.00361235212158717,1.6535,1.0,3.0,6.0,10,0.4,0.0005,0.0,0.2923838949559502,2000
100,3.1622776601683795,5.0,0.5,1.0121143756976199,0.002408316788621301,1.6955,1.0,3.0,5.009999999999991,11,0.4095,0.0005,0.0,0.3218666883749312,2000
100,5.62341325190349,5.0,0.5,1.0075890444362257,0.001512078501539449,1.6415,1.0,3.0,5.0,11,0.396,0.0005,0.0,0.2854669308555127,2000
100,10.0,5.0,0.5,1.0045599556369043,0.0009099181073703999,1.6585,1.0,3.0,5.0,9,0.4,0.0,0.0,0.2998933904372451,2000
